route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
"RW",6,3146,"Wall St./Pier 11",2302,1,23,7
"RW",6,3147,"Wall St./Pier 11",2204,1,22,7
"RW",6,3148,"Wall St./Pier 11",2402,1,24,7
"RW",6,3149,"Wall St./Pier 11",2105,1,21,7
"RW",6,3150,"Wall St./Pier 11",2304,1,23,7
"RW",6,3151,"Wall St./Pier 11",2206,1,22,7
"RW",6,3152,"Wall St./Pier 11",2404,1,24,7
"RW",6,3153,"Wall St./Pier 11",2107,1,21,7
"RW",6,3154,"Wall St./Pier 11",2306,1,23,7
"RW",6,3155,"Wall St./Pier 11",2208,1,22,7
"RW",6,3156,"Wall St./Pier 11",2406,1,24,7
"RW",6,3157,"Wall St./Pier 11",2109,1,21,7
"RW",6,3158,"Wall St./Pier 11",2308,1,23,7
"RW",6,3159,"Wall St./Pier 11",2210,1,22,7
"RW",6,3160,"Wall St./Pier 11",2408,1,24,7
"RW",6,3161,"Wall St./Pier 11",2111,1,21,7
"RW",6,3162,"Wall St./Pier 11",2310,1,23,7
"RW",6,3163,"Wall St./Pier 11",2212,1,22,7
"GI",5,3191,"Wall St./Pier 11",7130,1,71,75
"GI",5,3192,"Wall St./Pier 11",7132,1,71,75
"RES",5,4730,"Rockaway",10101,0,101,44
"RES",6,4731,"Rockaway",10103,0,101,44
"RES",6,4732,"Rockaway",10105,0,101,44
"RES",6,4733,"Rockaway",10201,0,102,44
"RES",6,4734,"Rockaway",10107,0,101,44
"RES",6,4735,"Rockaway",10203,0,102,44
"RES",6,4736,"Rockaway",10109,0,101,44
"RES",6,4737,"Rockaway",10205,0,102,44
"RES",6,4738,"Rockaway",10111,0,101,44
"RES",6,4739,"Rockaway",10207,0,102,44
"RES",6,4740,"Rockaway",10113,0,101,44
"RES",6,4741,"Rockaway",10209,0,102,44
"RES",6,4742,"Rockaway",10115,0,101,44
"RES",6,4743,"Rockaway",10211,0,102,44
"RES",6,4744,"Rockaway",10117,0,101,44
"RES",6,4745,"Rockaway",10213,0,102,44
"RES",6,4746,"Rockaway",10119,0,101,44
"RES",6,4747,"Rockaway",10215,0,102,44
"RES",6,4748,"Rockaway",10121,0,101,44
"RES",6,4749,"Rockaway",10217,0,102,44
"RES",6,4750,"Rockaway",10123,0,101,44
"RES",6,4751,"Rockaway East",10104,1,101,132
"RES",6,4752,"Rockaway East",10106,1,101,132
"RES",6,4753,"Rockaway East",10202,1,102,132
"RES",6,4754,"Rockaway East",10108,1,101,132
"RES",6,4755,"Rockaway East",10204,1,102,132
"RES",6,4756,"Rockaway East",10110,1,101,132
"RES",6,4757,"Rockaway East",10206,1,102,132
"RES",6,4758,"Rockaway East",10112,1,101,132
"RES",6,4759,"Rockaway East",10208,1,102,132
"RES",6,4760,"Rockaway East",10114,1,101,132
"RES",6,4761,"Rockaway East",10210,1,102,132
"RES",6,4762,"Rockaway East",10116,1,101,132
"RES",6,4763,"Rockaway East",10212,1,102,132
"RES",6,4764,"Rockaway East",10118,1,101,132
"RES",6,4765,"Rockaway East",10214,1,102,132
"RES",6,4766,"Rockaway East",10120,1,101,132
"RES",6,4767,"Rockaway East",10216,1,102,132
"RES",6,4768,"Rockaway East",10122,1,101,132
"RES",6,4769,"Rockaway East",10218,1,102,132
"RES",6,4770,"Rockaway East",10124,1,101,132
"RES",6,4771,"Rockaway East",10220,1,102,132
